user_text,error_type,component_label,source
Graphics card thermal throttle and System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start noise then off and Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Need faster storage plus Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
Power problem and boot error,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
my usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
computer pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
Windows crash loop also PC stuck on logo,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
fix pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow opening files plus PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
"SSD performance, Windows not starting",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc power flicker problem,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not start after update please,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu temperature high problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
my graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no display HDMI also Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no display HDMI Graphics not good enough,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Screen black PC on Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not start after update problem,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
Graphics card fan loud also PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU overheat warning also PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start only sometimes and Boot failure and PC on blank screen,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
SSD performance and PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
my computer problem,General Repair,General Repair,auto_corrected_from_test
pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc slow loading programs problem,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
Monitor no signal Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC no signal display also Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
SSD upgrade needed PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
Laptop charging light blink PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC can't connect WiFi USB not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
help pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
GPU temperature high plus System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow opening files and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
graphics card too hot problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Graphics card thermal throttle, PC very slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display VGA plus Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card thermal throttle issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker plus PC stuck startup repair,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu overheat warning please,GPU Overheat,GPU Overheat,auto_corrected_from_test
Windows crash suddenly also PC stuck on logo,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
gpu shutdown due to heat problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display HDMI,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Windows crash loop plus Windows not starting,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
PC restart again and again plus Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Monitor not detected, GPU performance issue",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC power flicker PC stuck loading,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
cpu shutdown due to heat please,CPU Overheat,CPU Overheat,auto_corrected_from_test
"Power button not working, Windows not starting",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No internet on PC also Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
CPU shutdown due to heat also System slow,CPU Overheat,CPU Overheat,auto_corrected_from_test
GPU temperature high System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu overheat warning issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display HDMI plus Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Laptop charging light blink Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display VGA,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card too hot please,GPU Overheat,GPU Overheat,auto_corrected_from_test
Monitor not detected also Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"CPU shutdown due to heat, PC slow performance, Need more RAM",CPU Overheat,CPU Overheat,auto_corrected_from_test
No display plus GPU too weak,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC no display VGA and Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card thermal throttle also PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU thermal issue PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
Laptop charging light blink and Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Monitor not detected Game lag graphics,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
No display Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
Windows crash loop and Computer stuck booting,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
No display plus GPU performance issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
fix no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC restart again and again plus Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
help gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working please,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start only sometimes PC stuck BIOS PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU thermal issue plus System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU shutdown due to heat and PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC not detect WiFi, USB not working",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
laptop gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
SSD not fast enough Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu fan not working please,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card fan loud please,GPU Overheat,GPU Overheat,auto_corrected_from_test
help cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
computer pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC restart again and again PC not start after update PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
cpu shutdown due to heat problem,CPU Overheat,CPU Overheat,auto_corrected_from_test
PC power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"WiFi connected no internet, USB port not working",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU temperature high PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
help pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
No display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
help graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card overheating plus PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating also PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no signal display and Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
CPU shutdown due to heat plus System slow,CPU Overheat,CPU Overheat,auto_corrected_from_test
PC start noise then off PC not start after update PC no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"PC start only sometimes, PC not start after update, No display",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
Laptop charging light blink plus PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
graphics card fan loud please,GPU Overheat,GPU Overheat,auto_corrected_from_test
SSD performance and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
help gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
Need faster storage Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
pc slow loading programs please,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC not turning on, Boot failure",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu thermal issue please,GPU Overheat,GPU Overheat,auto_corrected_from_test
No display also GPU too weak,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"No display, GPU performance issue",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC power flicker also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"Monitor not detected, Graphics card not detect",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu fan not working problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU thermal issue also PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
my no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC restart again and again and PC stuck BIOS and No display,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start only sometimes also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card fan loud issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"CPU hot always, System slow overall, Need more RAM",CPU Overheat,CPU Overheat,auto_corrected_from_test
No display plus Graphics not good enough,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No internet on PC plus USB not detected,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
help gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card too hot please,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating plus System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
help graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display hdmi please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC restart again and again also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
fix computer problem,General Repair,General Repair,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
No display also GPU too weak,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
the pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU fan not working also System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
help graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC shutdown suddenly and Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc power flicker issue,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
GPU fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
help graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
laptop pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
graphics card overheating issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card overheating problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
my graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card overheating please,GPU Overheat,GPU Overheat,auto_corrected_from_test
my gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display vga please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
help usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
graphics card fan loud please,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker and Computer stuck booting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
my gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
the no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC shutdown suddenly and Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
Power button not working and Windows not starting and No display,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
help gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
PC slow opening files plus Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
my pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
laptop gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
"SSD performance, Boot failure",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
GPU thermal issue plus Computer slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
the graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC restart again and again and Boot failure and PC no signal display,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"CPU shutdown due to heat, PC slow performance",CPU Overheat,CPU Overheat,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
Monitor no signal also Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
the graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
graphics card thermal throttle issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU shutdown due to heat plus PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu thermal issue issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
the no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu cooling problem issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC no signal, Low FPS problem",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU fan not working and PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card fan loud System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu temperature high problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC on blank screen, Graphics card not detect",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
the graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU overheat warning plus System slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
my pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
SSD upgrade needed and PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
pc power flicker please,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
Power button not working also PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display VGA also Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"PC slow loading programs, Windows not starting",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
the computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc not start after update issue,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"PC power flicker, PC stuck BIOS",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display vga problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
no display please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card too hot also System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU temperature high, Computer slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
CPU shutdown due to heat Computer slow RAM performance issue,CPU Overheat,CPU Overheat,auto_corrected_from_test
gpu overheat warning issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU cooling problem plus System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card fan loud issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card thermal throttle please,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card overheating please,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker also PC stuck BIOS,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu thermal issue issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
my cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
pc no display vga problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no display HDMI,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
GPU temperature high and PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
CPU shutdown due to heat also PC slow after update,CPU Overheat,CPU Overheat,auto_corrected_from_test
GPU temperature high PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC restart again and again Computer stuck booting PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC no display HDMI plus Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
fix usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
Graphics card overheating also PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start noise then off Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Graphics card too hot plus System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
Computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"Power button not working, PC stuck loading, PC no display VGA",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card overheating also PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start noise then off also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC restart again and again plus PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Storage upgrade required and Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
pc not start after update issue,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker PC not boot PC no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu temperature high please,GPU Overheat,GPU Overheat,auto_corrected_from_test
CPU hot always and System slow and Need more RAM,CPU Overheat,CPU Overheat,auto_corrected_from_test
GPU temperature high plus PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC no display HDMI, GPU performance issue",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC no display VGA plus GPU too weak,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
CPU shutdown due to heat plus PC slow after update,CPU Overheat,CPU Overheat,auto_corrected_from_test
pc gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
the no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU temperature high, PC very unresponsive",GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC no signal plus Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu temperature high issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
No display GPU bottleneck,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Windows crash loop plus Boot failure,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
graphics card fan loud problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
the pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker plus Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
CPU shutdown due to heat also System slow,CPU Overheat,CPU Overheat,auto_corrected_from_test
pc no display vga please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
Windows crash loop and Boot failure,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
Graphics card fan loud also System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
help graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
